for,while,if,then,else,switch,case,do,Buggy
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0
1,2,6,0,0,0,0,0,0
3,0,4,0,0,0,0,0,0
5,0,99,14,5,0,1,1,0
2,0,5,0,0,0,0,0,0
2,0,5,0,0,0,0,0,0
2,2,5,0,0,0,0,0,0
2,2,4,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0
5,0,10,0,5,1,2,0,0
2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,6,0,4,0,0,0,1
2,0,10,0,4,0,0,0,1
0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,1
23,2,56,6,5,0,1,0,1
1,0,1,0,0,0,0,0,0
0,0,3,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1
0,0,8,0,3,0,0,0,1
0,0,0,0,0,0,0,0,0
3,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1
0,0,7,0,0,1,1,0,0
0,0,7,0,0,1,1,0,1
3,0,0,0,0,0,0,0,0
0,0,4,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
3,0,16,1,4,0,0,0,0
0,0,8,1,2,0,2,0,0
0,0,2,0,3,0,0,0,0
0,1,4,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0
0,0,1,1,1,0,0,0,0
0,0,2,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
0,1,2,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0
3,0,0,0,0,0,0,0,1
0,0,5,0,4,0,0,0,0
1,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1
0,0,0,0,0,2,4,2,0
0,0,0,0,0,2,4,2,0
0,0,0,0,0,0,0,0,0
7,0,5,0,1,0,0,2,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,1
0,3,6,0,2,0,0,0,1
0,0,4,0,3,0,0,0,0
1,0,4,0,0,0,0,0,0
3,0,4,0,0,0,0,0,1
0,1,6,0,1,0,0,0,1
0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,4,0,0
69,0,1,0,0,0,0,0,0
0,0,0,0,0,1,2,0,0
0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,0,5,0,1,0,0,0,0
5,0,1,0,0,0,0,0,0
0,0,4,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,5,0,0,0,0,0,0
0,1,2,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
0,0,6,0,0,2,2,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0
2,0,0,0,0,0,0,1,0
0,0,2,0,1,0,0,0,0
1,0,0,0,0,1,1,0,0
0,0,2,0,0,0,0,0,0
0,0,14,0,11,0,0,0,1
0,0,6,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,1
2,0,9,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
3,0,1,0,0,0,6,1,0
3,0,2,0,0,0,51,1,0
0,0,0,0,0,0,0,0,0
10,5,64,0,7,1,11,0,0
0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0
1,0,1,0,3,0,0,0,0
0,0,17,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0
0,0,5,0,1,0,0,0,0
5,0,20,0,1,1,0,0,1
1,0,1,0,0,0,0,0,0
0,0,1,0,1,0,0,0,1
10,0,25,0,6,0,0,2,1
1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
2,0,5,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,12,0,2,0,0,0,0
0,0,2,0,1,0,0,0,0
0,1,3,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0
2,0,3,0,3,0,0,0,0
1,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
3,0,1,0,0,0,0,0,1
2,0,1,0,1,0,0,0,1
0,0,1,0,1,0,0,0,0
1,0,4,0,2,0,0,0,0
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,4,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0
2,0,4,0,4,0,0,0,0
0,0,0,0,0,0,0,0,1
0,0,0,0,0,2,4,2,0
0,0,0,0,0,2,4,2,0
0,0,0,0,0,2,4,2,0
0,0,0,0,0,2,4,2,0
0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0
6,0,12,0,3,0,0,0,0
0,0,10,0,1,0,1,0,0
2,0,20,0,2,1,9,0,0
0,0,6,0,1,0,1,0,0
0,1,6,0,1,1,3,0,0
2,0,7,0,1,0,1,0,0
0,0,5,0,0,0,0,0,0
0,0,3,0,3,2,6,0,0
1,0,4,0,0,0,0,0,1
6,0,16,0,0,0,0,0,0
4,0,16,0,0,1,8,0,0
3,0,4,0,0,0,0,0,0
8,0,21,0,5,0,0,0,1
0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2,0,10,0,0,1,8,0,0
0,0,3,0,0,0,0,0,0
1,0,14,0,4,0,1,0,0
4,0,13,0,2,1,0,0,0
2,0,2,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
0,0,5,0,1,0,0,0,0
1,0,6,0,1,1,4,0,0
0,0,4,0,2,0,0,0,0
2,0,6,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,6,0,3,0,0,0,0
1,0,4,0,1,0,1,0,0
0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,8,0,4,0,0,0,0
0,0,7,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
0,6,11,0,0,0,0,4,0
0,0,2,0,0,0,0,0,0
0,0,4,0,3,0,0,0,0
1,0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0
0,0,3,0,1,0,0,0,0
1,0,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,1,0
0,1,1,0,0,0,0,0,0
2,0,0,0,0,0,0,1,0
0,0,4,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1
1,0,2,0,0,0,0,0,0
0,0,6,0,1,0,0,2,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0
1,0,22,0,1,0,0,0,0
2,0,28,0,1,0,0,0,0
0,0,9,0,1,0,4,0,0
2,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,1
6,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,7,0,0,0,0,0,0
4,0,0,2,0,0,0,0,0
9,0,46,0,8,2,5,0,0
0,0,0,0,0,0,0,0,0
2,0,8,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0
1,0,5,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,21,0,0,0,0,0,0
0,0,8,0,2,0,0,1,1
0,0,3,0,1,0,0,0,0
0,1,4,0,0,1,1,1,0
0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1,0
0,0,0,0,0,0,4,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0
0,0,5,0,0,0,0,0,0
1,1,3,0,1,2,4,0,0
0,0,1,0,0,0,1,0,0
4,0,3,0,0,2,4,0,0
0,0,4,0,0,1,2,0,0
0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0
2,0,0,0,0,0,0,0,1
0,0,3,0,0,0,0,0,0
0,1,4,0,0,1,1,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,10,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0
0,0,4,0,0,2,4,0,0
5,0,15,0,1,11,29,0,0
0,0,1,0,0,1,3,0,0
0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,1,0,0
3,0,2,0,0,4,8,0,0
1,0,2,0,0,2,4,0,0
0,0,1,0,0,2,4,0,0
0,1,5,2,2,0,0,0,0
0,0,3,0,2,2,4,0,0
0,0,0,0,0,0,0,0,0
2,0,12,0,2,10,22,1,0
0,0,0,0,0,0,0,0,0
0,0,3,0,0,3,16,0,0
1,0,1,0,0,0,0,0,0
0,0,0,0,0,2,4,0,0
0,0,0,0,0,1,7,0,0
0,0,0,0,0,2,4,0,0
0,0,3,0,0,0,0,0,0
1,0,6,0,1,3,10,0,0
0,0,1,0,1,4,14,1,0
0,0,2,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,23,0,3,2,15,0,0
0,0,0,0,0,2,8,0,0
